summary,censor_reason,link,type,year,challenger,book_theme,school_district,notes,state,impacted_high_school,impacted_public_library,impacted_elementary_school,impacted_middle_school,impacted_K-12,impacted_P-8
Internet/Social Media: District censored comments on its Facebook page for Criticism of School,Criticism of School,https://ncac.org/news/blog/delaware-school-district-removes-comments-supporting-gun-control-protest-from-facebook,Internet/Social Media,2018,Staff/Admin/Board,N/A,Caesar Rodney School District,A school district removed comments from the district's Facebook page which disagreed with the District's position on student protests.,DE,0,0,0,0,1,0
Book Challenge: Perks of Being a Wallflower challenged for LGBTQ content,LGBTQ,https://www.facebook.com/BeavertonSchoolDistrict/posts/instructional-materials-challenge-of-the-perks-of-being-a-wallflowertwo-parents-/2087090217974477/,Book Challenge,2018,Parent(s),Other,Beaverton School Dist,A challenge to The Perks of Being a Wallflower by Stephen Chbosky sought its removal from middle and high school classrooms and libraries.,OR,0,0,0,1,0,0
Book Challenge: Looking for Alaska challenged for LGBTQ content,LGBTQ,N/A,Book Challenge,2018,Parent(s),Other,West Ada School Dist,"Looking for Alaska by John Green was removed from middle school libraries, without formal review as required by district regulations",ID,0,0,0,1,0,0
Book Challenge: Two Boys Kissing challenged for Sex,Sex,https://ncac.org/news/blog/cody-school-board-removes-novel-against-recommendation-of-review-committee,Book Challenge,2018,Parent(s),Other,Cody Public Schools,"A school board removed Tanya Lee Stone's A Bad Boy Can Be Good for a Girl, against the recommendation of the review committee",WY,1,0,0,0,0,0
Event/Other Expression: Students censored for LGBTQ content,LGBTQ,N/A,Event/Other Expression,2018,Staff/Admin/Board,N/A,Elmore County School Dist,Performance of the student- authored play Confessions at a high school was halted because of a Catholic teacher's objections to the depiction of a homosexual priest.,AL,1,0,0,0,0,0
Clothing/Appearance: Student censored ffor Political/Social Views,Political/Social Views,https://katu.com/news/local/hillsboro-student-sues-school-district-after-being-removed-for-trump-quoting-t-shirt,Clothing/Appearance,2018,Staff/Admin/Board,N/A,Hillsboro School District,A high school student wearing a T-shirt with a pro-Trump message was told by an assistant principal to either cover his shirt or leave campus. The student chose to leave and later found out that his absence was being recorded as a suspension. The school later rescinded the suspension.,OR,1,0,0,0,0,0
Book Challenge: Fun Home challenged for Sex,Sex,https://ncac.org/news/blog/fun-home-under-fire-in-new-jersey,Book Challenge,2018,Parent(s),LGBTQ,Watchung Hills Regional HS,Parents sought removal of Fun Home from the 12th grade curriculum due to its =E2=80=9Csexually explicit nature.=E2=80=9D,NJ,1,0,0,0,0,0
Event/Other Expression: Valedictorian's speech censored for Criticism of School ,Criticism of School,https://www.oregonlive.com/opinion/2018/06/leonard_pitts_jr_petaluma_high.html,Event/Other Expression,2018,Staff/Admin/Board,N/A,Petaluma City Schools,High School valedictorian was told by school officials not to talk about her alleged on-campus sexual assault and that the school took no action when she reported it during her graduation speech. Her microphone was turned off when she started talking about those topics.,CA,1,0,0,0,0,0
Event/Other Expression: Student censored for Political/Social Views,Political/Social Views,https://www.twincities.com/2018/06/15/wisconsin-high-school-censors-students-graduation-speech/,Event/Other Expression,2018,Staff/Admin/Board,N/A,School District of Tomahawk,"One of six valedictorians chose not to speak at graduation after the administration censored her speech which referenced discrimination, school shootings, and gender inequality.",WI,1,0,0,0,0,0
Book Challenge: The Hate U Give challenged for Political/Social Views,Political/Social Views,https://ncac.org/news/blog/fraternal-order-of-police-challenges-summer-reading-list-in-south-carolina-high-school,Book Challenge,2018,Law Enforcement,Race,Charleston County School Dist,"The inclusion of two popular young adult books, The Hate U Give by Angie Thomas and All American Boys by Jason Reynolds and Brendan Kiely, on the Wando High School summer reading list was challenged by the local Fraternal Order of Police in Charleston County, South Carolina.",SC,1,0,0,0,0,0
Art/Display: Student artwork censored for Political/Social Views,Political/Social Views,https://www.timesunion.com/news/article/Niskayuna-student-seeks-justice-finds-censorship-13120852.php,Art/Display,2018,Staff/Admin/Board,N/A,Niskayuna Central School District,"A recent high school graduate was made to alter - twice - a painting that bore the name of her alleged rapist, before the school removed it from being on display in one of the school's hallways.",NY,1,0,0,0,0,0
Press/Yearbook: School attempted to censor school newspaper for Criticism of School,Criticism of School,https://splc.org/2018/05/0522prosper-2/,Press/Yearbook,2018,Staff/Admin/Board,N/A,Prosper Independent School District,"As a result of advocacy and national Press/Yearbook coverage, the principal of Prosper High School informed the student journalists of the Eagle Nation Online that they would not need his approval before publishing. This is a reversal of a policy the principal put in place during the 2017-2018 school year which required stories be submitted and approved by him and also banned student opinion pieces.",TX,1,0,0,0,0,0
Art/Display: Religious groups called for removal of LGBTQ content from book display at library,LGBTQ,https://ncac.org/news/Press/Yearbook-release/maine-pastors-banned-books,Art/Display,2018,Religious Leader(s),N/A,Rumford Public Library,Local religious groups called for the removal of all LGBTQ books from a Banned Books Week display at the Rumford Public Library.,ME,0,1,0,0,0,0
Art/Display: Student art was removed for Political/Social views,Political/Social Views,https://www.wrdw.com/content/news/NAHS-students-say-Black-Lives-Matter-art-was-wrongfully-removed-494754581.html,Art/Display,2018,Staff/Admin/Board,N/A,Aiken County Public School District,"Two Black Lives Matter chalk drawings, created by students participating in a fundraiser, were removed, as directed by the school principal, for being controversial.",SC,1,0,0,0,0,0
Book Challenge: City of Thieves challenged for Sex,Sex,https://ncac.org/news/city-of-thieves-removed-from-florida-high-school,Book Challenge,2018,Parent(s),Other,Lee County School Dist,"City of Thieves, by David Benioff, was removed from a10th grade English class pending review, in violation of district policy",FL,1,0,0,0,0,0
Book Challenge: Beartown challenged for Sex,Sex,https://ncac.org/news/beartownnc,Book Challenge,2018,Parent(s),Other,Rockingham County School Dist,"School district removed Beartown, a 2017 novel by Fredrik Backman. The school board's decision to ban the book followed an influx of parent complaints. The book had been assigned in a 10th grade honors English class until parents complained about its =E2=80=9Cvulgar=E2=80=9D, =E2=80=9Cgraphic=E2=80=9D and =E2=80=9Cjust unnecessary=E2=80=9D subject matter.",NC,1,0,0,0,0,0
Press/Yearbook: School newspaper censored for Criticism of School,Criticism of School,https://www.buzzfeednews.com/article/amberjamieson/harber-high-arkansas-student-newspaper-suspended-football,Press/Yearbook,2018,Staff/Admin/Board,N/A,Springdale Public Schools,"A student newspaper published a story which questioned the legitimacy of the district's approval for five varsity football players to transfer mid-school year from one high school to another. Despite there being Arkansas state laws protecting the rights of student publications and the right of expression of student journalists, demands were made by district officials to remove the story from the newspaper's website. The Herald was also suspended from publishing while the district rewrites the policies and protocols for student-run publications.",AR,1,0,0,0,0,0
Book Challenge: I Am Jazz challenged for LGBTQ content,LGBTQ,https://ncac.org/news/blog/kansas-library-defending-lgbtq-stories-from-challengers,Book Challenge,2019,Lawmaker(s),LGBTQ,Andover Public Library,"Challenges to three books with transgender protagonists on ""moral grounds""",KS,0,1,0,0,0,0
Book Challenge: Fun Home challenged for Sex,Sex,https://ncac.org/news/new-jersey-high-schools-restrict-access-to-fun-home,Book Challenge,2019,Staff/Admin/Board,LGBTQ,North Hunterdon-Voorhees School Dist,Fun Home was removed from a school library.,NJ,1,0,0,0,0,0
Book Challenge: Assassination Classroom challenged for Violence,Violence,https://ncac.org/news/popular-manga-title-pulled-from-new-york-school,Book Challenge,2019,Parent(s),N/A,NYCDOE District 31,Assassination Classroom was removed from a school library.,NY,0,0,0,1,0,0
Event/Other Expression: Student punished for Political/Social Views,Political/Social Views,https://www.cnn.com/2019/03/07/us/florida-pledge-of-allegiance-dispute/index.html?utm_source=3DCommunications&utm_campaign=3D1470c06df7-EMAIL_CAMPAIGN_2019_03_07_03_56&utm_medium=3Demail&utm_term=3D0_c67d07604c-1470c06df7-247398081&mc_cid=3D1470c06df7&mc_eid=3D21c0dc6f1b,Event/Other Expression,2019,Staff/Admin/Board,N/A,Polk County Public Schools,"When a sixth-grade student at Lawton Chiles Middle Academy refused to stand for the Pledge of Allegiance, the substitute teacher called the school administration. An administrator and school resource officer came and asked the student to leave the classroom. The district claims the substitute teacher did not know the student code of conduct doesn't mandate participation during the Pledge of Allegiance.",FL,0,0,0,1,0,0
Book Challenge: It's Perfectly Normal challenged for Sex,Sex,https://www.youtube.com/watch?v=3DRRmoTcme38I,Book Challenge,2019,Parent(s),Other,Evergreen Public Schools,A challenge was filed  to Its Perfectly Normal,WA,0,0,0,0,1,0
Book Challenge: Pride: The Story of Harvey Milk and the Rainbow Flag challenged for LGBTQ content,LGBTQ,https://ncac.org/news/pride-the-story-of-harvey-milk-and-the-rainbow-flag-challenged-in-virginia-school,Book Challenge,2019,Parent(s),LGBTQ,Hanover County Public Schools,PRIDE,VA,0,0,1,0,0,0
Event/Other Expression: Student censored for Political/Social Views,Political/Social Views,https://thehill.com/blogs/blog-briefing-room/news/438476-new-york-student-says-teacher-wouldnt-let-her-pick-trump-for,Event/Other Expression,2019,Staff/Admin/Board,N/A,Sachem Central School District,"A sixth-grade student was told that she could not use then-President Trump for her hero's project because he ""spreads negativity and says bad stuff about women"".",NY,0,0,0,1,0,0
Book Challenge: Eleanor & Park challenged for LGBTQ content,LGBTQ,https://ncac.org/wp-content/uploads/2021/12/Case-no-1915-KRRP-letter-ISO-Eleanor-and-Park-OrtingDistrict.pdf,Book Challenge,2019,Parent(s),LGBTQ,Orting School Dist,"Eleanor and Park, by Rainbow Rowell, was pulled from the 8th grade Battle of the Books choice curriculum without review.",WA,0,0,0,1,0,0
"Event/Other Expression: Student play censored for Profanity, Sex and Intolerance","Intolerance, Sex",http://www.artsintegrity.org/c-a-n-c-e-l-i-n-g-spelling-bee-at-a-maryland-middle-school/,Event/Other Expression,2019,Staff/Admin/Board,N/A,Prince George's County Public Schools,"A middle school production of ""The 25th Annual Putnam County Spelling Bee"" was cancelled after the play was ""deemed more appropriate for high school and not middle school"". The district raised concerns including profane language, sexual innuendo, and potentially-viewed-as-racist lines. Ultimately, a solution was found (by a student) and the play will go on - with a delayed start and PG-13 rating, noting mature content.",MD,0,0,0,1,0,0
Press/Yearbook: Students censored for Sex,Sex,https://abc7news.com/bear-creek-high-school-stockton-intermediate-ca-weather/5284675/,Press/Yearbook,2019,Staff/Admin/Board,N/A,Lodi Unified School District,"After a CA school district sought to censor an article in the school newspaper about an 18-year-old student who works in the adult entertainment industry in order pay bills, an attorney hired by the district informed the district that the censorship was illegal under California law, which gives student journalist broad free expression Press/Yearbook rights. The article subsequently appeared in the school newspaper.",CA,1,0,0,0,0,0
Art/Display: Mural removed for  LGBTQ content,LGBTQ,https://www.insidernj.com/Press/Yearbook-release/garden-state-equality-condemns-erasure-students-lgbtq-pride-mural-hackensack-public-school-church-objections/,Art/Display,2019,Religious Leader(s),N/A,Bergen Arts & Science Charter High School,"A charter school removed an LGBTQ pride mural that a sixteen year old student had made. The school's landlord, a church, complained that the mural's rainbow heart was ""offensive"".",NJ,1,0,0,0,0,0
Clothing/Appearance: Student censored for Political/Social Views,Political/Social Views,https://fox8.com/news/students-pro-trump-hats-blurred-from-pennsylvania-high-school-yearbook/,Clothing/Appearance,2019,Staff/Admin/Board,N/A,Littlestown Area School District,"A student's yearbook photo was airbrushed to remove the words on his hat, ""Trump",PA,1,0,0,0,0,0
Event/Other Expression: Author book talk cancelled for Sex,Sex,N/A,Event/Other Expression,2019,Staff/Admin/Board,Other,Prince George's County Public Schools,A book talk with author Elizabeth Acevedo at Buck Lodge Middle School was cancelled after a county official objected to passages in her young-adult novel With the Fire on High.,MD,0,0,0,1,0,0
Art/Display: Student artwork censored for Sex,Sex,https://www.rutlandherald.com/news/local/mill-river-student-s-artwork-censored/article_547ad9ce-228a-511d-9cd6-5f93056e41ea.html,Art/Display,2019,Student(s),N/A,Mill River Unified Union School District,"A student's art project was barred from the District's Advanced Placement art showcase. The project featured pictures of persons tied using Shibari, a form artistic Japanese rope bondage. The principal had received complaints from students saying the piece made them uncomfortable and was offensive.",VT,1,0,0,0,0,0
Book Challenge: The Walking Dead challenged for Violence and Profanity,"Profanity, Violence",https://ncac.org/news/idaho-high-school-bans-the-walking-dead-from-campus,Book Challenge,2019,Parent(s),N/A,Wallace School District,The Walking Dead was removed from school despite a review committee recommendation to keep it.,ID,1,0,0,0,0,0
Book Challenge: Love Is Love challenged for LGBTQ content,LGBTQ,https://www.lgbtqnation.com/2019/07/texas-high-school-bans-graphic-novel-pulse-shooting-extreme-homosexuality/,Book Challenge,2019,Parent(s),LGBTQ,Irving Independent School District,The LGBTQ anthology comic book Love is Love was removed from a high school without undergoing a proper review process. It is also unclear who authorized the removal of the book from the school.,TX,1,0,0,0,0,0
Art/Display: Student artwork censored for Political/Social Views,N/A,https://www.actionnews5.com/2019/08/03/scs-responds-after-student-artwork-is-removed-southwind-high-school-hallway/,Art/Display,2019,Staff/Admin/Board,N/A,Shelby County Schools,"A piece of student artwork, hung on display during the 2016-2017 school year, depicting then-President Trump with tape over his mouth and the Statue of Liberty covering her face was removed from the hallway at a high school The district stated that the artwork was removed ""not due to any attention on social media, but because the principal received a threatening phone call. This decision was made in the interest of safety...""",TN,1,0,0,0,0,0
Clothing/Appearance: Student censored for LGBTQ content,Political/Social Views,https://www.washingtonpost.com/education/2019/08/18/she-wore-tuxedo-her-senior-portrait-yearbook-left-her-photo-out/,Clothing/Appearance,2019,Staff/Admin/Board,N/A,St. Clair County Schools,"After a female student chose to wear a tuxedo for her senior portrait instead of the traditional black velvet drape and pearls often worn by females, the yearbook omitted her picture and instead listed her name on the back page under the heading ""Not Pictured"".",AL,1,0,0,0,0,0
Clothing/Appearance: Students censored for Political/Social Views,LGBTQ,https://www.wymt.com/content/news/Students-forced-to-change-after-wearing-LGBTQ-positive-shirts-to-school--558358831.html,Clothing/Appearance,2019,Staff/Admin/Board,N/A,Martin County Schools,Several high school students who were wearing LGBTQ pride shirts were charged with a dress code violation. The students were forced to change shirts.,KY,1,0,0,0,0,0
Book Challenge: Dear Martin challenged for Sex,Political/Social Views,https://ncac.org/wp-content/uploads/2021/12/Case-no-1924-KRRP-Letter-to-Columbia-County-Schools_10.21.19.pdf,Book Challenge,2019,Staff/Admin/Board,Various,Columbia County Public Schools,"Three novels were excluded from the Columbia County High School supplemental curriculum based on isolated references to sex, violence or =E2=80=9Cgraphic depictions=E2=80=9D",GA,1,0,0,0,0,0
Book Challenge: Various books challenged for various reasons,Sex,https://www.loudountimes.com/news/diverse-classroom-libraries-spark-debate-in-loudoun-county/article_62e8671c-eaa6-11e9-ac15-4f7856694f30.html,Book Challenge,2019,Parent(s),N/A,Loudoun County Public Schools,Challenges to books in Diverse Classroom Libraries led to books being retained but moved to different grade levels. The books were,VA,0,0,0,0,1,0
Press/Yearbook: School newspaper censored for Criticism of School ,Other,https://splc.org/2019/11/illinois-school-district-censors-student-newspaper-is-it-a-violation-of-the-new-voices-law/,Press/Yearbook,2019,Staff/Admin/Board,N/A,Naperville 203 Community Unit School District,"A high school newspaper was censored after the paper planned to run a story about a special needs student causing constant classroom disruptions, including punching a teacher in the head, resulting in a concussion The state has a New Voices Act which provides additional student Press/Yearbook freedom beyond that granted by the US Constitution.",IL,1,0,0,0,0,0
Book Challenge: Prince and Knight challenged for LGBTQ content and Sex,Criticism of School,https://ncac.org/news/lgbtq-childrens-book-removed-from-library-shelves-in-west-virginia,Book Challenge,2019,Religious Leader(s),LGBTQ,Upshur County Public Library,Prince & Knight removed from the children's section of library at the request of a local pastor.,WV,0,1,0,0,0,0
Event/Other Expression: Students censored for LGBTQ content,"Sex, LGBTQ",https://www.phoenixnewtimes.com/news/arizona-public-school-accused-of-mistreating-lgbtq-students-11392194,Event/Other Expression,2019,Staff/Admin/Board,N/A,Deer Valley Unified School District,Students reported that the school rejected the students' request to start an LGBTQ support club and refused to use a student's preferred pronouns.,AZ,0,0,1,0,0,0
